"","Department"
"419","Departt: of General History"
"420","Department of General History"
"421","Instt: of Law."
"422","Institute of Law, Hyderabad"
"423","Institute of Law, Hyderabad"
"424","Institute of Law, Hyderabad"
"425","Institute of Law, Elsa Kazi Campus,"
"426","Institute of Law,"
"427","Institute of Law"
"428","Institute of Law"
"429","Institute Of Law"
"430","Institute of Law"
"431","Institute of Law"
"432","Faculty of law, Hyderabad."
"433","Faculty of Law"
"434","Office of the Dean, Faculty of Natural Sciences"
"435","Office of the Dean, Faculty of Natural Sciences"
"436","Office of the Dean, Faculty of Natural Science"
"437","Faculty of Natural Sciences"
"438","Faculty of Natural science"
"439","Dean’s Office, Faculty of Natural Sciences"
"440","Dean, Faculty of Natural Sciences"
"441","Dean, Faculty of Natural Sciences"
"442","Department of Law"
"443","Department of Mass Communication"
"444","Department of Mass Communication"
"445","Department of Mass Communication"
"446","Department of Mass Communication"
"447","Department of Mass Communication"
"448","Department of Library Information Sciences & Archive Studies"
"449","Department of Library Information Science & Archive Studies"
"450","Department of Library Information Science & Archive Studies"
"451","Department of Library information Science"
"452","Office of the Dean, Faculty of Education"
"453","Office of the Dean, Faculty of Education"
"454","Office of the dean Faculty of Education"
"455","Non-Formal Distance Continuing Computer Education, Hyderabad"
"456","Faculty of Education, Hydrabad"
"457","Faculty of Education, Hyderabad"
"458","Faculty of Education, Hyderabad"
"459","Faculty of Education, Hyderabad"
"460","Faculty of Education, Hyderabad"
"461","Faculty of Education, Hyderabad"
"462","Faculty of Education, Hyderabad"
"463","Faculty of Education Hyderabad"
"464","DDCCE, Faculty of Education, Hyderabad"
"465","Faculty of Education, Hyd:"
"466","Faculty of Education, Hyd:"
"467","D.E.M. & Supervisor Faculty of Education, Hyd:"
"468","Faculty of Education,"
"469","Faculty of Education"
"470","Faculty of Education"
"471","Faculty of Education"
"472","Faculty of Education"
"473","Faculty of Education"
"474","Faculty of Education"
"475","Faculty of Education"
"476","Faculty of Education"
"477","Faculty of Education"
"478","Faculty of  Education"
"479","Dean Faculty of Education"
"480","DCCE, Faculty of Education,"
"481","Distance Continuing & Computer Education"
"482","Department of Distance Continuing & Computer Education"
"483","Department of Science & Technical Education, Faculty of Edu."
"484","Department of Science & Technical Education Faculty of Edu."
"485","Department of Science & Technical Education hyd"
"486","Department of Educational Management hyderabad"
"487","Department of Educational Management & Supervision Hyderabad"
"488","Dean Education"
"489","DCCE Education"
"490","Examinations Wing (Annual)"
"491","Examinations Wing (Annual)"
"492","Examinations Wing (Annual)"
"493","Examinations Wing (Annual)"
"494","Examinations Wing (Annual)"
"495","Examinations Wing (Annual)"
"496","Examinations Wing (Annual)"
"497","Examination Wing (Annual)"
"498","Examination Wing (Annual)"
"499","Examination Wing (Annual)"
"500","Examination Wing (Annual)"
"501","Examination Wing (Annual)"
"502","Examination Wing (Annual)"
"503","Examination Wing (Annual)"
"504","Examination Wing (Annual)"
"505","Examination Wing (Annual)"
"506","Exam. Wing (Annual)"
"507","Exam. Wing (Annual)"
"508","Controller of Examinations (Annual)"
"509","Dett: Economics"
"510","Dept. of Economics"
"511","Department of Economics"
"512","Department of Economics"
"513","Department of Economics"
"514","Department of Economics"
"515","Department of Economics"
"516","Department of Economics"
"517","Department of Economics"
"518","Sports (Boys)"
"519","Office of the Director Sports (Boys)"
"520","Directorate of Sports Boys"
"521","Directorate of Sports (Boys)"
"522","Directorate of Sports (Boys)"
"523","Director Sports (Boys)"
"524","Students’ Welfare Office"
"525","Student Welfare Office"
"526","Office ot the Students Welfare  officer (Girls)"
"527","Office the Student Financial Aid"
"528","Directorate of Students Affairs"
"529","Director Students Affairs"
"530","Sports Girls"
"531","Sports (Girls)"
"532","Office of the Diretress Sports (Girls)"
"533","Directorate of Sports (Girls)"
"534","Directorate of Sports (Girls)"
"535","Media & Communication Studies"
"536","Media & Communication Studies"
"537","Institute of Media and Communication Studies"
"538","Departmentof Media and Communication Studies"
"539","Department of Media & Communication Studies"
"540","Department of Media & Communication Studies"
"541","Deptt: of Media Commutation Studies"
"542","Dept. of Mass Communication"
"543","Department of Media Communication"
"544","Department of Media & Communication"
"545","Department of Media & Communication"
"546","Department of Media & Communication"
"547","Zoology Dept:"
"548","Zoology"
"549","Dept. of Zoology"
"550","Dept. of Zoology"
"551","Department of Zoology"
"552","Department of Zoology"
"553","Department of Zoology"
"554","Department of Zoology"
"555","Department of Zoology"
"556","Department of Zoology"
"557","Department of Zoology"
"558","Department of Zoology"
"559","Department of Zoology"
"560","Department of Zoology"
"561","Department of Zoology"
"562","Department of Zoology"
"563","Department of Zoology"
"564","Department of Zoology"
"565","Department of Zoology"
"566","Department of Zoology"
"567","Bureau of Translation Guidance Dept. of Zoology"
"568","Department of Sociology"
"569","Department of Sociology"
"570","Department of Sociology"
"571","Department of Sociology"
"572","Department of Sociology"
"573","Department of Sociology"
"574","Department of Geology"
"575","Deptt: of Urdu"
"576","Department of Urdu"
"577","Department of Urdu"
"578","Department of Urdu"
"579","Sociology"
"580","Deptt: of Sociology"
"581","Social Work"
"582","Social Work"
"583","Deptt: Social work"
"584","Department of Social Work"
"585","Department of Social Work"
"586","Deptt: of Sindhi"
"587","Department of Sindhi"
"588","Department of Sindhi"
"589","Department of Sindhi"
"590","Department of Sindhi"
"591","Department of Sindhi"
"592","Public Administration"
"593","Department of Public Administration"
"594","Department of Public Administration"
"595","Department Of Public Administration"
"596","Psychology"
"597","Department of Psychology"
"598","Department of Psychology"
"599","Department of Psychological Testing, Guidance & Research"
"600","Department of Physiology"
"601","Department of Physiology"
"602","Department of Physiology"
"603","Department of Physiology"
"604","Department of Physiology"
"605","Department of Physiology"
"606","Department of Physiology"
"607","Department of Physiology"
"608","Department of Physiology"
"609","Department of Physiology"
"610","Department of Physiology"
"611","Department of Physiology"
"612","Deptt: of Political Sciences"
"613","Department of Political Science"
"614","Department Of Political Science"
"615","Department of Political Science"
"616","Department of Political Science"
"617","Department of Philosophy"
"618","Department of Philosophy"
"619","Department of Philosophy"
"620","Department of Philosophy"
"621","Department of Philosophy"
"622","Deptt. of Pharmacy Practice, Faculty of Pharmacy"
"623","Department of Pharmacy Practice"
"624","Department of Pharmacy Prctice"
"625","Department of Pharmacognosy"
"626","Department of Pharmacognosy"
"627","Department of Pharmacognosy"
"628","Department of Pharmacognosy"
"629","Department of Pharmacology, Faculty of Pharmacy"
"630","Department of Pharmacology"
"631","Department of Pharmacology"
"632","Department of Pharmacology"
"633","Department of Pharmacology"
"634","Department of Pharmaceutics"
"635","Department of Pharmaceutics"
"636","Department of Pharmaceutics"
"637","Department of Pharmaceutics"
"638","Department of Pharmaceutics"
"639","Department of Pharmaceutics"
"640","Department of Pharmaceutical Chemistry"
"641","Department of Pharmaceutical Chemistry"
"642","Department of Pharmaceutical Chemistry"
"643","Geography"
"644","Geography"
"645","Dept. of Geography"
"646","Department of Geography"
"647","Department of Geography"
"648","Department of Geography"
"649","Department of Geography"
"650","Department of Geography"
"651","Department of Geography"
"652","Islamic Culture"
"653","Department of Comparative Religion & Islamic Culture"
"654","Faculty of Islamic Studies"
"655","Dean, F. of Islamic Studies"
"656","Deptt: of Criminology"
"657","Department of Criminology"
"658","Department of  Criminology"
"659","Centre for Rural Development Communication"
"660","Centre for Rural Development and Communication"
"661","Centre for Rural Development  Communication"
"662","Center for Rural Development Communication"
"663","Environmental Sciences"
"664","Environmental Sciences"
"665","Department of Environmental Sciences"
"666","Centre for Environmental Sciences"
"667","Centre for Environmental Science"
"668","Centre for Environmental Science"
"669","Centre for Environmental Science"
"670","Center for Environmental Sciences"
"671","Pure & Applied Geology"
"672","Centre For Pure And Applied Geology"
"673","Centre For Pure And Applied Geology"
"674","Centre for Pure & Applied Geology"
"675","Centre for Pure & Applied Geology"
"676","Centre for Pure & Applied Geology"
"677","Centre for Pure & Applied Geology"
"678","Centre for Pure & Applied Geology"
"679","Centre for Pure & Applied Geology"
"680","Centre for Pure & Applied Geology"
"681","Centre for Pur & Applied Geology"
"682","Center for Pure & Applied Geology"
"683","Center for Pure & Applied Geology"
"684","Center for Pure & Applied Geology"
"685","Center for Pure & Applied Geology"
"686","Center for Pure & Applied Geology"
"687","Center for Pure & Applied Geology"
"688","Center for Pure & Applied Geology"
"689","Center for Pure & Applied Geology"
"690","Center for Pure & Applied Geology"
"691","Center for Pure & Applied Geology"
"692","Center for Pure & Applied Geology"
"693","Center for Pure & Applied Geology"
"694","Center for Pure & Applied Geology"
"695","Center for Pure & Applied Geology"
